,Unnamed: 0,id,path_from_root,path_from_root_id,name,total_items_in_this_category
2079,2079,MLC414115,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Cintas Reflectivas']","['MLC1368', 'MLC179312', 'MLC414115']",Cintas Reflectivas,566
2080,2080,MLC440028,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Cordones']","['MLC1368', 'MLC179312', 'MLC440028']",Cordones,8307
2081,2081,MLC437080,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Costura y Bordado', 'Agujas de Coser']","['MLC1368', 'MLC179312', 'MLC436814', 'MLC437080']",Agujas de Coser,976
2082,2082,MLC439952,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Costura y Bordado', 'Alfileres']","['MLC1368', 'MLC179312', 'MLC436814', 'MLC439952']",Alfileres,6113
2083,2083,MLC439951,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Costura y Bordado', 'Alfileres de Gancho']","['MLC1368', 'MLC179312', 'MLC436814', 'MLC439951']",Alfileres de Gancho,1043
2084,2084,MLC439950,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Costura y Bordado', 'Alfileteros']","['MLC1368', 'MLC179312', 'MLC436814', 'MLC439950']",Alfileteros,406
2085,2085,MLC417159,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Costura y Bordado', 'Bastidores para Bordado']","['MLC1368', 'MLC179312', 'MLC436814', 'MLC417159']",Bastidores para Bordado,15943
2086,2086,MLC439953,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Costura y Bordado', 'Botones']","['MLC1368', 'MLC179312', 'MLC436814', 'MLC439953']",Botones,12919
2087,2087,MLC439954,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Costura y Bordado', 'Costureros']","['MLC1368', 'MLC179312', 'MLC436814', 'MLC439954']",Costureros,1288
2088,2088,MLC439949,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Costura y Bordado', 'Dedales']","['MLC1368', 'MLC179312', 'MLC436814', 'MLC439949']",Dedales,751
2089,2089,MLC179315,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Costura y Bordado', 'Hilos']","['MLC1368', 'MLC179312', 'MLC436814', 'MLC179315']",Hilos,14839
2090,2090,MLC417826,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Costura y Bordado', 'Kits para Costura']","['MLC1368', 'MLC179312', 'MLC436814', 'MLC417826']",Kits para Costura,23141
2091,2091,MLC437081,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Costura y Bordado', 'Otros']","['MLC1368', 'MLC179312', 'MLC436814', 'MLC437081']",Otros,4027
2092,2092,MLC440023,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Elásticos']","['MLC1368', 'MLC179312', 'MLC440023']",Elásticos,3379
2093,2093,MLC400982,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Etiquetas de Tela']","['MLC1368', 'MLC179312', 'MLC400982']",Etiquetas de Tela,2959
2094,2094,MLC432727,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Extensiones para Corpiños']","['MLC1368', 'MLC179312', 'MLC432727']",Extensiones para Corpiños,831
2095,2095,MLC416663,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Flecos']","['MLC1368', 'MLC179312', 'MLC416663']",Flecos,4056
2096,2096,MLC440019,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Flores de Tela']","['MLC1368', 'MLC179312', 'MLC440019']",Flores de Tela,23919
2097,2097,MLC417183,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Fundas para Ropa']","['MLC1368', 'MLC179312', 'MLC417183']",Fundas para Ropa,1687
2098,2098,MLC179313,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Lanas']","['MLC1368', 'MLC179312', 'MLC179313']",Lanas,8139
2099,2099,MLC440025,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Lentejuelas']","['MLC1368', 'MLC179312', 'MLC440025']",Lentejuelas,2464
2100,2100,MLC433011,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Máquinas para Broches']","['MLC1368', 'MLC179312', 'MLC433011']",Máquinas para Broches,3037
2101,2101,MLC440024,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Parches']","['MLC1368', 'MLC179312', 'MLC440024']",Parches,9189
2102,2102,MLC416579,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Pistolas Encoladoras']","['MLC1368', 'MLC179312', 'MLC416579']",Pistolas Encoladoras,753
2103,2103,MLC440020,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Plumas']","['MLC1368', 'MLC179312', 'MLC440020']",Plumas,1727
2104,2104,MLC440026,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Puntillas']","['MLC1368', 'MLC179312', 'MLC440026']",Puntillas,2657
2105,2105,MLC436817,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Quita Pelusas', 'Eléctricos']","['MLC1368', 'MLC179312', 'MLC436816', 'MLC436817']",Eléctricos,557
